Sample	se_sense	se_antisense	failed	pe_sense	pe_antisense
UV_control_1			0.6367	0.1683	0.195
UV_control_2			0.526	0.1446	0.3293
UV_control_3			0.472	0.0922	0.4358
UV_exposure_2			0.535	0.1233	0.3416
UV_exposure_3			0.4113	0.0955	0.4932
dark_4h_0110_KO_1			0.509	0.1861	0.305
dark_4h_0110_KO_2			0.527	0.1748	0.2982
dark_4h_0616_KO_1			0.6279	0.1752	0.1969
dark_4h_0616_KO_2			0.5207	0.1916	0.2876
dark_4h_1684_KO_1			0.532	0.1428	0.3252
dark_4h_1684_KO_2			0.54	0.1499	0.3101
km_LL_1			0.4788	0.1383	0.3829
km_LL_2			0.5344	0.1565	0.3091
km_dark_4h_1			0.5588	0.1756	0.2657
km_dark_4h_2			0.4941	0.2	0.3059
light_0110_KO_1			0.4944	0.1454	0.3602
light_0110_KO_2			0.5285	0.1736	0.2978
light_0616_KO_1			0.6086	0.1658	0.2256
light_0616_KO_2			0.5608	0.1709	0.2683
light_1684_KO_1			0.5431	0.1571	0.2998
light_1684_KO_2			0.5754	0.1268	0.2978
post_uv_2hrs_1			0.4255	0.0589	0.5156
post_uv_2hrs_2			0.6363	0.1816	0.182
post_uv_2hrs_3			0.655	0.1628	0.1822
post_uv_control_1			0.4746	0.0976	0.4278
post_uv_control_2			0.641	0.1734	0.1856
wt_LL_1			0.5229	0.129	0.3481
wt_LL_2			0.4302	0.1318	0.438
wt_dark_4h_1			0.5411	0.1649	0.294
wt_dark_4h_2			0.5054	0.1576	0.337
